table,row,dealer,best,best_code,ev_hit,ev_stand,ev_double,ev_split,ev_surrender
Hard Totals,5,2,hit,H,-0.128216,-0.292784,-0.585567,,
Hard Totals,5,3,hit,H,-0.095310,-0.252250,-0.504500,,
Hard Totals,5,4,hit,H,-0.061479,-0.211063,-0.422126,,
Hard Totals,5,5,hit,H,-0.023979,-0.167193,-0.334385,,
Hard Totals,5,6,hit,H,-0.001186,-0.153699,-0.307398,,
Hard Totals,5,7,hit,H,-0.119447,-0.475375,-0.950750,,
Hard Totals,5,8,hit,H,-0.188093,-0.510518,-1.021035,,
Hard Totals,5,9,hit,H,-0.266615,-0.543150,-1.086299,,
Hard Totals,5,10,hit,H,-0.357743,-0.575782,-1.151564,,
Hard Totals,5,A,hit,H,-0.466621,-0.769427,-1.538855,,
Hard Totals,6,2,hit,H,-0.140759,-0.292784,-0.564058,,
Hard Totals,6,3,hit,H,-0.107291,-0.252250,-0.483726,,
Hard Totals,6,4,hit,H,-0.072917,-0.211063,-0.402051,,
Hard Totals,6,5,hit,H,-0.034916,-0.167193,-0.315577,,
Hard Totals,6,6,hit,H,-0.013006,-0.153699,-0.281946,,
Hard Totals,6,7,hit,H,-0.151933,-0.475375,-0.894048,,
Hard Totals,6,8,hit,H,-0.217242,-0.510518,-1.001256,,
Hard Totals,6,9,hit,H,-0.292641,-0.543150,-1.067839,,
Hard Totals,6,10,hit,H,-0.380508,-0.575782,-1.134421,,
Hard Totals,6,A,hit,H,-0.485519,-0.769427,-1.518734,,
Hard Totals,7,2,hit,H,-0.109183,-0.292784,-0.435758,,
Hard Totals,7,3,hit,H,-0.076583,-0.252250,-0.359779,,
Hard Totals,7,4,hit,H,-0.043022,-0.211063,-0.282299,,
Hard Totals,7,5,hit,H,-0.007271,-0.167193,-0.202730,,
Hard Totals,7,6,hit,H,0.029185,-0.153699,-0.138337,,
Hard Totals,7,7,hit,H,-0.068808,-0.475375,-0.589336,,
