table,row,dealer,best,best_code,ev_hit,ev_stand,ev_double,ev_split,ev_surrender
Pairs,"2,2",2,split,P,-0.114913,-0.292784,-0.585567,-0.088887,
Pairs,"2,2",3,split,P,-0.082613,-0.252250,-0.504500,-0.025616,
Pairs,"2,2",4,split,P,-0.049367,-0.211063,-0.422126,0.042947,
Pairs,"2,2",5,split,P,-0.012380,-0.167193,-0.334385,0.127250,
Pairs,"2,2",6,split,P,0.011130,-0.153699,-0.307398,0.194779,
Pairs,"2,2",7,split,P,-0.088279,-0.475375,-0.950750,-0.007399,
Pairs,"2,2",8,hit,H,-0.159334,-0.510518,-1.021035,-0.174109,
Pairs,"2,2",9,hit,H,-0.240666,-0.543150,-1.086299,-0.365121,
Pairs,"2,2",10,hit,H,-0.335100,-0.575782,-1.151564,-0.581927,
Pairs,"2,2",A,hit,H,-0.447799,-0.769427,-1.538855,-0.822214,
Pairs,"3,3",2,split,P,-0.140759,-0.292784,-0.564058,-0.138164,
Pairs,"3,3",3,split,P,-0.107291,-0.252250,-0.483726,-0.063866,
Pairs,"3,3",4,split,P,-0.072917,-0.211063,-0.402051,0.014625,
Pairs,"3,3",5,split,P,-0.034916,-0.167193,-0.315577,0.102293,
Pairs,"3,3",6,split,P,-0.013006,-0.153699,-0.281946,0.169420,
Pairs,"3,3",7,split,P,-0.151933,-0.475375,-0.894048,-0.067760,
Pairs,"3,3",8,hit,H,-0.217242,-0.510518,-1.001256,-0.229670,
Pairs,"3,3",9,hit,H,-0.292641,-0.543150,-1.067839,-0.415180,
Pairs,"3,3",10,hit,H,-0.380508,-0.575782,-1.134421,-0.625560,
Pairs,"3,3",A,hit,H,-0.485519,-0.769427,-1.518734,-0.858490,
Pairs,"4,4",2,hit,H,-0.021798,-0.292784,-0.204491,-0.166945,
Pairs,"4,4",3,hit,H,0.008005,-0.252250,-0.136216,-0.091341,
Pairs,"4,4",4,hit,H,0.038784,-0.211063,-0.066372,-0.011587,
Pairs,"4,4",5,split,P,0.070805,-0.167193,0.003456,0.080260,
Pairs,"4,4",6,split,P,0.114960,-0.153699,0.087015,0.145957,
Pairs,"4,4",7,hit,H,0.082207,-0.475375,-0.187730,-0.129444,
Pairs,"4,4",8,hit,H,-0.059898,-0.510518,-0.451987,-0.286454,
Pairs,"4,4",9,hit,H,-0.210186,-0.543150,-0.718501,-0.466359,
Pairs,"4,4",10,hit,H,-0.301777,-0.575782,-0.843004,-0.670200,
Pairs,"4,4",A,hit,H,-0.422745,-0.769427,-1.176670,-0.895598,
Pairs,"5,5",2,double,D,0.182500,-0.292784,0.358939,-0.193550,
Pairs,"5,5",3,double,D,0.206088,-0.252250,0.409321,-0.116735,
Pairs,"5,5",4,double,D,0.230470,-0.211063,0.460940,-0.032973,
Pairs,"5,5",5,double,D,0.256259,-0.167193,0.512517,0.059910,
Pairs,"5,5",6,double,D,0.287795,-0.153699,0.575590,0.124312,
Pairs,"5,5",7,double,D,0.256909,-0.475375,0.392412,-0.191780,
Pairs,"5,5",8,double,D,0.197954,-0.510518,0.286636,-0.343972,
Pairs,"5,5",9,double,D,0.116530,-0.543150,0.144328,-0.518257,
Pairs,"5,5",10,hit,H,-0.044990,-0.575782,-0.150004,-0.715487,
Pairs,"5,5",A,hit,H,-0.217020,-0.769427,-0.577769,-0.933242,
Pairs,"6,6",2,split,P,-0.253390,-0.292784,-0.506780,-0.218637,
Pairs,"6,6",3,split,P,-0.233691,-0.252250,-0.467382,-0.136678,
Pairs,"6,6",4,split,P,-0.213537,-0.211063,-0.427073,-0.049560,
Pairs,"6,6",5,split,P,-0.193271,-0.167193,-0.386542,0.043987,
Pairs,"6,6",6,split,P,-0.170526,-0.153699,-0.341052,0.107923,
Pairs,"6,6",7,hit,H,-0.212848,-0.475375,-0.506712,-0.256751,
Pairs,"6,6",8,hit,H,-0.271575,-0.510518,-0.615661,-0.402270,
Pairs,"6,6",9,hit,H,-0.340013,-0.543150,-0.737506,-0.570308,
Pairs,"6,6",10,hit,H,-0.420696,-0.575782,-0.877557,-0.761015,
Pairs,"6,6",A,hit,H,-0.518539,-0.769427,-1.142209,-0.971038,
Pairs,"7,7",2,split,P,-0.362192,-0.292784,-0.724385,-0.155485,
Pairs,"7,7",3,split,P,-0.348729,-0.252250,-0.697459,-0.074767,
Pairs,"7,7",4,split,P,-0.334911,-0.211063,-0.669823,0.010511,
Pairs,"7,7",5,split,P,-0.321395,-0.167193,-0.642791,0.099965,
Pairs,"7,7",6,split,P,-0.300726,-0.153699,-0.601453,0.187691,
Pairs,"7,7",7,split,P,-0.321282,-0.475375,-0.668135,-0.090501,
Pairs,"7,7",8,hit,H,-0.371919,-0.510518,-0.766271,-0.388995,
Pairs,"7,7",9,hit,H,-0.430930,-0.543150,-0.878075,-0.555758,
Pairs,"7,7",10,hit,H,-0.500498,-0.575782,-1.008086,-0.730156,
Pairs,"7,7",A,hit,H,-0.584862,-0.769427,-1.213154,-0.993856,
Pairs,"8,8",2,split,P,-0.470995,-0.292784,-0.941990,0.019285,
Pairs,"8,8",3,split,P,-0.463768,-0.252250,-0.927536,0.086888,
Pairs,"8,8",4,split,P,-0.456286,-0.211063,-0.912573,0.156567,
Pairs,"8,8",5,split,P,-0.449520,-0.167193,-0.899039,0.228318,
Pairs,"8,8",6,split,P,-0.430927,-0.153699,-0.861853,0.325533,
Pairs,"8,8",7,split,P,-0.414779,-0.475375,-0.829558,0.211530,
Pairs,"8,8",8,split,P,-0.458440,-0.510518,-0.916881,-0.087582,
Pairs,"8,8",9,split,P,-0.509322,-0.543150,-1.018644,-0.405400,
Pairs,"8,8",10,hit,H,-0.569307,-0.575782,-1.138614,-0.603555,
