table,row,dealer,best,best_code,ev_hit,ev_stand,ev_double,ev_split,ev_surrender
Soft Totals,"A,2",2,hit,H,0.046636,-0.292784,-0.071570,,
Soft Totals,"A,2",3,hit,H,0.074119,-0.252250,-0.007228,,
Soft Totals,"A,2",4,hit,H,0.102477,-0.211063,0.058427,,
Soft Totals,"A,2",5,hit,H,0.133363,-0.167193,0.125954,,
Soft Totals,"A,2",6,double,D,0.161693,-0.153699,0.179748,,
Soft Totals,"A,2",7,hit,H,0.122386,-0.475375,-0.183866,,
Soft Totals,"A,2",8,hit,H,0.054057,-0.510518,-0.314441,,
Soft Totals,"A,2",9,hit,H,-0.037695,-0.543150,-0.456367,,
Soft Totals,"A,2",10,hit,H,-0.160806,-0.575782,-0.616500,,
Soft Totals,"A,2",A,hit,H,-0.295756,-0.769427,-1.000318,,
Soft Totals,"A,3",2,hit,H,0.022392,-0.292784,-0.071570,,
Soft Totals,"A,3",3,hit,H,0.050807,-0.252250,-0.007228,,
Soft Totals,"A,3",4,hit,H,0.080081,-0.211063,0.058427,,
Soft Totals,"A,3",5,double,D,0.111894,-0.167193,0.125954,,
Soft Totals,"A,3",6,double,D,0.139165,-0.153699,0.179748,,
Soft Totals,"A,3",7,hit,H,0.079507,-0.475375,-0.183866,,
Soft Totals,"A,3",8,hit,H,0.013277,-0.510518,-0.314441,,
Soft Totals,"A,3",9,hit,H,-0.075163,-0.543150,-0.456367,,
Soft Totals,"A,3",10,hit,H,-0.193304,-0.575782,-0.616500,,
Soft Totals,"A,3",A,hit,H,-0.323250,-0.769427,-1.000318,,
Soft Totals,"A,4",2,hit,H,-0.000121,-0.292784,-0.071570,,
Soft Totals,"A,4",3,hit,H,0.029160,-0.252250,-0.007228,,
Soft Totals,"A,4",4,hit,H,0.059285,-0.211063,0.058427,,
Soft Totals,"A,4",5,double,D,0.091960,-0.167193,0.125954,,
Soft Totals,"A,4",6,double,D,0.118246,-0.153699,0.179748,,
Soft Totals,"A,4",7,hit,H,0.037028,-0.475375,-0.183866,,
Soft Totals,"A,4",8,hit,H,-0.027055,-0.510518,-0.314441,,
Soft Totals,"A,4",9,hit,H,-0.112189,-0.543150,-0.456367,,
Soft Totals,"A,4",10,hit,H,-0.225440,-0.575782,-0.616500,,
Soft Totals,"A,4",A,hit,H,-0.350409,-0.769427,-1.000318,,
Soft Totals,"A,5",2,hit,H,-0.021025,-0.292784,-0.071570,,
Soft Totals,"A,5",3,hit,H,0.009059,-0.252250,-0.007228,,
Soft Totals,"A,5",4,double,D,0.039975,-0.211063,0.058427,,
Soft Totals,"A,5",5,double,D,0.073449,-0.167193,0.125954,,
Soft Totals,"A,5",6,double,D,0.098821,-0.153699,0.179748,,
Soft Totals,"A,5",7,hit,H,-0.004890,-0.475375,-0.183866,,
Soft Totals,"A,5",8,hit,H,-0.066795,-0.510518,-0.314441,,
Soft Totals,"A,5",9,hit,H,-0.148644,-0.543150,-0.456367,,
Soft Totals,"A,5",10,hit,H,-0.257101,-0.575782,-0.616500,,
Soft Totals,"A,5",A,hit,H,-0.377140,-0.769427,-1.000318,,
Soft Totals,"A,6",2,hit,H,-0.000491,-0.152975,-0.007043,,
Soft Totals,"A,6",3,double,D,0.028975,-0.117216,0.055095,,
Soft Totals,"A,6",4,double,D,0.059326,-0.080573,0.118653,,
Soft Totals,"A,6",5,double,D,0.091189,-0.044941,0.182378,,
Soft Totals,"A,6",6,double,D,0.128052,0.011739,0.256104,,
Soft Totals,"A,6",7,hit,H,0.053823,-0.106809,-0.013758,,
Soft Totals,"A,6",8,hit,H,-0.072915,-0.381951,-0.255102,,
Soft Totals,"A,6",9,hit,H,-0.149787,-0.423154,-0.400984,,
Soft Totals,"A,6",10,hit,H,-0.249416,-0.464358,-0.565073,,
Soft Totals,"A,6",A,hit,H,-0.395088,-0.638639,-0.939954,,
